crop_id,crop_name,waste_area_mu,discount_area_mu,change_area_mu,waste_production_jin,discount_production_jin,change_production_jin,waste_surplus_jin,discount_surplus_jin,change_surplus_jin,waste_profit_yuan,discount_profit_yuan,change_profit_yuan
41,羊肚菌,29.4,25.2,-4.2,29400.0,25200.0,-4200.0,0.0,0.0,0.0,2646000.0,2268000.0,-378000.0
22,茄子,47.725,34.8,-12.925,317520.0,252960.0,-64560.0,0.0,9600.0,9600.0,1663598.0,1301184.0,-362414.0
37,红萝卜,84.0,162.0,78.0,252000.0,486000.0,234000.0,0.0,234000.0,234000.0,777000.0,1118250.0,341250.0
32,空心菜,2.1,14.4,12.3,25200.0,170100.0,144900.0,0.0,144900.0,144900.0,102900.0,379440.0,276540.0
14,莜麦,238.631579,126.013158,-112.618421,95452.631579,50205.263158,-45247.368421,0.0,0.0,0.0,429536.842105,225723.68421,-203813.157895
15,大麦,125.157896,0.0,-125.157896,59450.0,0.0,-59450.0,0.0,0.0,0.0,164269.736841,0.0,-164269.736841
25,菜花,6.3,0.0,-6.3,25200.0,0.0,-25200.0,0.0,0.0,0.0,119700.0,0.0,-119700.0
24,青椒,6.3,0.0,-6.3,18270.0,0.0,-18270.0,0.0,0.0,0.0,91686.0,0.0,-91686.0
13,红薯,114.545452,169.354544,54.809092,252000.0,372580.0,120580.0,0.0,120580.0,120580.0,589909.090911,676233.409092,86324.318181
31,辣椒,4.2,0.0,-4.2,8400.0,0.0,-8400.0,0.0,0.0,0.0,55860.0,0.0,-55860.0
9,高粱,350.0,389.025983,39.025983,210000.0,231390.0,21390.0,0.0,21390.0,21390.0,1120000.0,1168559.606928,48559.606928
27,油麦菜,6.3,4.5,-1.8,31500.0,22500.0,-9000.0,0.0,0.0,0.0,144900.0,103500.0,-41400.0
4,绿豆,698.064104,651.985655,-46.078449,233625.0,224741.645569,-8883.354431,2345.0,2769.772727,424.772727,1374637.563763,1335302.33554,-39335.228223
30,生菜,4.2,2.7,-1.5,19950.0,12900.0,-7050.0,0.0,0.0,0.0,105840.0,67755.0,-38085.0
23,菠菜,2.1,0.0,-2.1,6300.0,0.0,-6300.0,0.0,0.0,0.0,37170.0,0.0,-37170.0
7,玉米,867.118523,881.636364,14.517841,865868.522727,880386.363636,14517.840909,0.0,0.0,0.0,2164046.306818,2200340.909091,36294.602273
3,红豆,441.748897,433.73684,-8.012057,167864.581703,164820.0,-3044.581703,11064.581703,8020.0,-3044.581703,1138987.885275,1174874.605265,35886.71999
19,芸豆,12.6,11.1,-1.5,45360.0,39960.0,-5400.0,0.0,0.0,0.0,264600.0,233100.0,-31500.0
6,小麦,1524.978488,1541.097171,16.118683,1185469.090909,1195880.0,10410.909091,0.0,0.0,0.0,3462901.499102,3492086.272788,29184.773686
5,爬豆,193.030646,201.599155,8.568509,76027.105263,76725.0,697.894737,6902.105263,7600.0,697.894737,399033.023817,421684.045357,22651.02154
26,包菜,6.3,5.7,-0.6,28350.0,25650.0,-2700.0,0.0,0.0,0.0,162225.0,146775.0,-15450.0
12,南瓜,81.9,88.75,6.85,245700.0,266250.0,20550.0,0.0,20550.0,20550.0,286650.0,295212.5,8562.5
33,黄心菜,2.1,1.8,-0.3,12600.0,10800.0,-1800.0,0.0,0.0,0.0,51450.0,44100.0,-7350.0
10,黍子,181.313156,183.796135,2.482979,87500.0,88553.164557,1053.164557,0.0,1203.164557,1203.164557,590977.263156,593470.25816,2492.995004
8,谷子,1294.157896,1292.248804,-1.909092,491080.0,491054.545455,-25.454545,0.0,420.0,420.0,2848893.157896,2847991.112441,-902.045455
34,芹菜,2.1,2.1,0.0,12600.0,12600.0,0.0,0.0,0.0,0.0,57960.0,57960.0,0.0
35,大白菜,210.0,210.0,0.0,1050000.0,1050000.0,0.0,0.0,0.0,0.0,2205000.0,2205000.0,0.0
40,白灵菇,12.6,12.6,0.0,126000.0,126000.0,0.0,0.0,0.0,0.0,1890000.0,1890000.0,0.0
