scenario_set,parameter,year,minimum,p05,mean,p95,maximum
q3_weak_elasticity_optimization_100,demand,2026,811.00711087,1005.13655811,29642.25810821,163883.74323799,227808.42461331
q3_weak_elasticity_optimization_100,demand,2027,829.61236613,1058.69860481,30729.0843823,173695.94309778,251868.72262675
q3_weak_elasticity_optimization_100,demand,2028,842.99214165,1108.52850733,31874.41458747,182278.75299329,277163.27402781
q3_weak_elasticity_optimization_100,demand,2029,857.96765722,1162.34751926,33134.37421459,190633.00412004,299874.73226863
q3_weak_elasticity_optimization_100,demand,2030,876.76406103,1204.67053423,34478.14844494,199505.41509201,325281.1523255
q3_weak_elasticity_optimization_100,yield,2024,90.00464633,344.28137052,3302.59754394,10986.36265752,16474.63038734
q3_weak_elasticity_optimization_100,yield,2025,90.16159313,344.81016969,3294.04523,10932.26329399,16495.6504555
q3_weak_elasticity_optimization_100,yield,2026,90.27827685,344.18000007,3307.73967233,10950.76002361,16494.10762712
q3_weak_elasticity_optimization_100,yield,2027,90.58466515,344.52786108,3313.03217114,11060.39532452,16476.98731479
q3_weak_elasticity_optimization_100,yield,2028,90.37282232,346.03746873,3315.57801669,11022.42012225,16482.46277851
q3_weak_elasticity_optimization_100,yield,2029,90.39940352,344.89056952,3304.83294082,11123.94005655,16444.04426379
q3_weak_elasticity_optimization_100,yield,2030,90.03484958,343.28355726,3298.632826,11022.54575641,16493.42414775
q3_weak_elasticity_optimization_100,cost,2024,364.11761032,367.08663251,1882.09131301,4061.75315454,10595.44587616
q3_weak_elasticity_optimization_100,cost,2025,379.8289793,385.26442125,1976.34206445,4272.16345412,11161.51320484
q3_weak_elasticity_optimization_100,cost,2026,396.37565755,404.34181227,2074.959235,4489.08323461,11802.54850107
q3_weak_elasticity_optimization_100,cost,2027,414.87281604,424.65102857,2179.11719045,4719.09535698,12456.41464304
q3_weak_elasticity_optimization_100,cost,2028,434.00069668,445.562897,2287.5237111,4959.1520129,13041.71471392
q3_weak_elasticity_optimization_100,cost,2029,453.73995706,467.71340028,2401.86704065,5221.8732222,13758.17740794
q3_weak_elasticity_optimization_100,cost,2030,474.57119297,490.99020627,2522.14749021,5484.80547234,14424.47936122
q3_weak_elasticity_optimization_100,price,2024,1.48557633,2.64407973,9.35493557,39.65986945,95.0
q3_weak_elasticity_optimization_100,price,2025,1.48552656,2.78470414,9.43947446,39.64410488,90.25
q3_weak_elasticity_optimization_100,price,2026,1.48525626,2.93059136,9.53623129,39.63633456,85.7375
q3_weak_elasticity_optimization_100,price,2027,1.48515202,3.03723011,9.65383576,39.65468917,81.450625
q3_weak_elasticity_optimization_100,price,2028,1.48514034,3.18418173,9.78576332,39.63309833,77.37809375
q3_weak_elasticity_optimization_100,price,2029,1.48517787,3.25275402,9.93677425,39.62867881,73.50918906
q3_weak_elasticity_optimization_100,price,2030,1.48508169,3.24649206,10.10027746,39.62602966,69.83372961
q3_weak_elasticity_test_2000,demand,2024,782.47703663,925.64780955,27704.52368386,143781.10697627,189692.07585938
q3_weak_elasticity_test_2000,demand,2025,794.65616806,970.00148951,28641.00159051,154230.54235808,209900.94018001
q3_weak_elasticity_test_2000,demand,2026,810.09748705,1012.43970106,29646.97435073,163593.96446749,231387.20750458
q3_weak_elasticity_test_2000,demand,2027,825.39394662,1058.31902974,30722.76863921,173222.58062458,254585.10676838
q3_weak_elasticity_test_2000,demand,2028,841.98662736,1106.59365097,31884.39879014,182383.90987914,281735.29272771
q3_weak_elasticity_test_2000,demand,2029,855.62205132,1156.72652417,33112.69596085,190527.21726967,308654.10688708
q3_weak_elasticity_test_2000,demand,2030,875.36678448,1211.25475098,34450.26782578,198635.46179082,339730.28515183
q3_weak_elasticity_test_2000,yield,2024,90.007874,344.81672868,3308.04036995,11013.14648146,16497.47004868
q3_weak_elasticity_test_2000,yield,2025,90.02555083,344.91401109,3306.45150063,10999.88160878,16495.18622707
q3_weak_elasticity_test_2000,yield,2026,90.00178308,344.85985914,3306.71982879,10993.10587134,16499.93625528
q3_weak_elasticity_test_2000,yield,2027,90.00763891,344.80401269,3308.26579178,11003.6233093,16498.87332406
q3_weak_elasticity_test_2000,yield,2028,90.00576413,344.90878732,3305.72176336,10984.80311381,16499.03347622
q3_weak_elasticity_test_2000,yield,2029,90.02177984,344.82975259,3307.61788179,11022.15093906,16497.88881081
q3_weak_elasticity_test_2000,yield,2030,90.00512375,345.23259171,3309.61438156,11016.70138643,16497.32730628
q3_weak_elasticity_test_2000,cost,2024,364.03679573,367.1934434,1882.49287201,4062.05645581,10597.15770339
q3_weak_elasticity_test_2000,cost,2025,379.39800829,385.43577264,1976.70491725,4272.79449429,11202.19211004
q3_weak_elasticity_test_2000,cost,2026,395.97541966,404.58168284,2075.54085056,4492.133794,11848.68303336
q3_weak_elasticity_test_2000,cost,2027,413.57062565,424.73064991,2179.34857671,4722.90894682,12457.73148022
q3_weak_elasticity_test_2000,cost,2028,432.96956037,445.90989218,2288.33092841,4964.34553796,13130.12577368
q3_weak_elasticity_test_2000,cost,2029,452.80995884,468.11036852,2402.79985427,5217.37712098,13806.21713792
q3_weak_elasticity_test_2000,cost,2030,473.61454598,491.45682841,2523.01154448,5483.0645021,14538.97490483
q3_weak_elasticity_test_2000,price,2024,1.48500593,2.64445133,9.35775189,39.63294179,95.0
q3_weak_elasticity_test_2000,price,2025,1.48500844,2.78504731,9.44108386,39.64763061,90.25
q3_weak_elasticity_test_2000,price,2026,1.48500552,2.93240257,9.54029154,39.64094648,85.7375
q3_weak_elasticity_test_2000,price,2027,1.48505349,3.03641133,9.6552658,39.63904184,81.450625
q3_weak_elasticity_test_2000,price,2028,1.48501279,3.18886267,9.78716537,39.63864449,77.37809375
q3_weak_elasticity_test_2000,price,2029,1.48500241,3.24781696,9.9350335,39.63382455,73.50918906
q3_weak_elasticity_test_2000,price,2030,1.4850081,3.24854733,10.10090881,39.63774052,69.83372961
q3_medium_optimization_100,demand,2024,769.77703453,888.03762439,27278.39349002,143457.29936148,187887.45481367
q3_medium_optimization_100,demand,2025,770.64589763,881.86110311,27837.56243012,150721.76840196,205271.93946062
q3_medium_optimization_100,demand,2026,769.74586497,886.77230201,28418.37350568,152389.26701928,221809.43680351
q3_medium_optimization_100,demand,2027,769.51956541,883.67456923,28960.64530125,152188.54517442,241491.50423602
q3_medium_optimization_100,demand,2028,769.51948503,890.05400114,29627.64750413,152785.33909314,263537.83892138
q3_medium_optimization_100,demand,2029,770.00931343,887.60941476,30297.11862097,151304.37008825,285066.3062752
q3_medium_optimization_100,demand,2030,769.56253235,883.22838561,31014.82452426,151072.82180058,306737.42068627
q3_medium_optimization_100,yield,2024,90.0475316,344.78561232,3302.82644048,10976.97576134,16473.65850729
q3_medium_optimization_100,yield,2025,90.0458722,346.0498734,3298.12223835,10981.20705211,16498.81493586
q3_medium_optimization_100,yield,2026,90.12098041,346.30544898,3292.48121041,10983.19019071,16480.87972122
q3_medium_optimization_100,yield,2027,90.01415829,346.62177528,3307.97046735,10988.50228154,16491.27504218
q3_medium_optimization_100,yield,2028,90.06428239,346.03310163,3296.33837757,10959.77567126,16483.36110042
q3_medium_optimization_100,yield,2029,90.00977398,344.47856163,3311.37432266,11030.7143046,16494.51377438
q3_medium_optimization_100,yield,2030,90.03612044,344.30446042,3311.56441345,11062.99244867,16454.80910149
q3_medium_optimization_100,cost,2024,364.09886475,367.19321643,1882.58963134,4061.29249643,10596.15145886
q3_medium_optimization_100,cost,2025,379.68264887,385.38428834,1976.75751862,4269.41218105,11197.28616263
q3_medium_optimization_100,cost,2026,397.43995169,404.69276382,2075.70451216,4492.45608718,11783.10987162
q3_medium_optimization_100,cost,2027,415.10291584,424.62478871,2178.77008416,4725.00396476,12385.01987728
q3_medium_optimization_100,cost,2028,434.76686114,445.5887297,2287.80476765,4965.89606512,13065.66279084
q3_medium_optimization_100,cost,2029,455.45316517,467.77200294,2401.98414346,5222.51962887,13764.23534374
q3_medium_optimization_100,cost,2030,475.92359946,491.04895051,2521.94063634,5485.53402316,14448.24761847
q3_medium_optimization_100,price,2024,1.48536422,2.64560325,9.36201808,39.640593,95.0
q3_medium_optimization_100,price,2025,1.48526158,2.78631515,9.44830381,39.62503272,90.25
q3_medium_optimization_100,price,2026,1.48548354,2.9299962,9.54797983,39.64363351,85.7375
q3_medium_optimization_100,price,2027,1.48524935,3.03764872,9.66292907,39.62960827,81.450625
q3_medium_optimization_100,price,2028,1.4850521,3.18941728,9.79452986,39.63218377,77.37809375
q3_medium_optimization_100,price,2029,1.48527611,3.24741939,9.94045801,39.63509396,73.50918906
q3_medium_optimization_100,price,2030,1.48510938,3.24858724,10.10494306,39.62317937,69.83372961
q3_medium_test_2000,demand,2024,769.50662682,886.77693237,27307.77564288,143372.68038665,187921.04279897
q3_medium_test_2000,demand,2025,769.51190664,887.0001714,27822.97095511,150177.8263503,206582.18958761
q3_medium_test_2000,demand,2026,769.50330482,888.00117706,28385.00530396,152431.87566318,225675.09187739
q3_medium_test_2000,demand,2027,769.53350675,885.84077103,28974.03601108,152053.85459022,247482.37928511
q3_medium_test_2000,demand,2028,769.50291254,886.25044237,29632.12142297,152251.35818728,264405.68597491
q3_medium_test_2000,demand,2029,769.53592088,885.17401774,30322.53012981,152519.94586414,289569.22903681
q3_medium_test_2000,demand,2030,769.51090558,884.94028792,31069.22745096,152286.46270854,316157.81878609
q3_medium_test_2000,yield,2024,90.02221844,344.94286709,3306.81689639,11027.36020593,16499.7626481
q3_medium_test_2000,yield,2025,90.00087856,344.97346593,3306.1928776,10995.37426501,16498.84585612
q3_medium_test_2000,yield,2026,90.00187939,345.21507013,3306.72071739,10990.11782958,16499.93641865
q3_medium_test_2000,yield,2027,90.0115618,344.6623692,3305.88780257,11006.06963407,16498.94548615
q3_medium_test_2000,yield,2028,90.01682237,344.82074041,3306.96155997,10989.83256421,16497.41493126
q3_medium_test_2000,yield,2029,90.00669505,344.95415714,3305.52340649,10984.24312835,16498.4708869
q3_medium_test_2000,yield,2030,90.00133128,345.15966838,3303.06006941,10987.83200236,16497.38196007
q3_medium_test_2000,cost,2024,364.01420412,367.19310499,1882.48992675,4061.59709014,10598.73529513
q3_medium_test_2000,cost,2025,378.75947984,385.38905116,1976.61881978,4272.22044046,11207.50254732
q3_medium_test_2000,cost,2026,395.41266115,404.50336333,2075.27316334,4493.02548186,11831.40880612
q3_medium_test_2000,cost,2027,412.92495512,424.68915933,2179.09015995,4722.62062628,12454.1209779
q3_medium_test_2000,cost,2028,433.10379923,445.82566019,2288.02422548,4963.25254002,13177.54436747
q3_medium_test_2000,cost,2029,451.97741808,468.01271085,2402.29654933,5216.91597275,13825.96670568
q3_medium_test_2000,cost,2030,471.89957544,491.3114016,2522.39115209,5483.45965231,14579.86512803
q3_medium_test_2000,price,2024,1.48500905,2.64427364,9.35705138,39.63822394,95.0
q3_medium_test_2000,price,2025,1.48502378,2.78653212,9.43945616,39.64031265,90.25
q3_medium_test_2000,price,2026,1.48500951,2.93342904,9.53854607,39.63686772,85.7375
q3_medium_test_2000,price,2027,1.48500163,3.03813858,9.65353738,39.63503832,81.450625
q3_medium_test_2000,price,2028,1.48501343,3.19002742,9.78487326,39.64096753,77.37809375
q3_medium_test_2000,price,2029,1.48506255,3.24790986,9.93341548,39.63284902,73.50918906
q3_medium_test_2000,price,2030,1.48503985,3.2487638,10.09919596,39.63684359,69.83372961
q3_medium_elasticity_optimization_100,demand,2024,782.44023954,926.75349004,27672.18632108,143708.27250142,189507.1765224
q3_medium_elasticity_optimization_100,demand,2025,796.33452683,962.11363298,28654.54806652,154195.43214702,208571.75698163
q3_medium_elasticity_optimization_100,demand,2026,809.63355944,1010.81937806,29688.18411208,163568.01794741,227524.1497166
q3_medium_elasticity_optimization_100,demand,2027,825.167811,1054.45937323,30698.83078875,172716.62719448,249576.9369224
q3_medium_elasticity_optimization_100,demand,2028,839.36635691,1108.82628769,31881.88525247,182900.82678977,273983.18621848
q3_medium_elasticity_optimization_100,demand,2029,865.4877215,1160.81067784,33083.04151551,189093.93776206,299191.31299539
q3_medium_elasticity_optimization_100,demand,2030,880.94717895,1208.67741466,34373.47358079,197568.14968709,325400.81825529
q3_medium_elasticity_optimization_100,yield,2024,90.0475316,344.78561232,3302.82644048,10976.97576134,16473.65850729
q3_medium_elasticity_optimization_100,yield,2025,90.0458722,346.0498734,3298.12223835,10981.20705211,16498.81493586
q3_medium_elasticity_optimization_100,yield,2026,90.12098041,346.30544898,3292.48121041,10983.19019071,16480.87972122
q3_medium_elasticity_optimization_100,yield,2027,90.01415829,346.62177528,3307.97046735,10988.50228154,16491.27504218
q3_medium_elasticity_optimization_100,yield,2028,90.06428239,346.03310163,3296.33837757,10959.77567126,16483.36110042
q3_medium_elasticity_optimization_100,yield,2029,90.00977398,344.47856163,3311.37432266,11030.7143046,16494.51377438
q3_medium_elasticity_optimization_100,yield,2030,90.03612044,344.30446042,3311.56441345,11062.99244867,16454.80910149
q3_medium_elasticity_optimization_100,cost,2024,364.09886475,367.19321643,1882.58963134,4061.29249643,10596.15145886
q3_medium_elasticity_optimization_100,cost,2025,379.68264887,385.38428834,1976.75751862,4269.41218105,11197.28616263
q3_medium_elasticity_optimization_100,cost,2026,397.43995169,404.69276382,2075.70451216,4492.45608718,11783.10987162
q3_medium_elasticity_optimization_100,cost,2027,415.10291584,424.62478871,2178.77008416,4725.00396476,12385.01987728
q3_medium_elasticity_optimization_100,cost,2028,434.76686114,445.5887297,2287.80476765,4965.89606512,13065.66279084
q3_medium_elasticity_optimization_100,cost,2029,455.45316517,467.77200294,2401.98414346,5222.51962887,13764.23534374
q3_medium_elasticity_optimization_100,cost,2030,475.92359946,491.04895051,2521.94063634,5485.53402316,14448.24761847
q3_medium_elasticity_optimization_100,price,2024,1.48536422,2.64560325,9.36201808,39.640593,95.0
q3_medium_elasticity_optimization_100,price,2025,1.48526158,2.78631515,9.44830381,39.62503272,90.25
q3_medium_elasticity_optimization_100,price,2026,1.48548354,2.9299962,9.54797983,39.64363351,85.7375
q3_medium_elasticity_optimization_100,price,2027,1.48524935,3.03764872,9.66292907,39.62960827,81.450625
q3_medium_elasticity_optimization_100,price,2028,1.4850521,3.18941728,9.79452986,39.63218377,77.37809375
q3_medium_elasticity_optimization_100,price,2029,1.48527611,3.24741939,9.94045801,39.63509396,73.50918906
q3_medium_elasticity_optimization_100,price,2030,1.48510938,3.24858724,10.10494306,39.62317937,69.83372961
q3_medium_elasticity_test_2000,demand,2024,782.22188094,926.43735755,27703.428128,143777.52550978,189692.99650459
q3_medium_elasticity_test_2000,demand,2025,794.97686379,968.40333762,28639.03956869,154178.50939862,209875.3988001
q3_medium_elasticity_test_2000,demand,2026,808.21511718,1013.33799456,29650.28811975,163726.46967814,231063.73525701
q3_medium_elasticity_test_2000,demand,2027,822.65149935,1056.97768897,30715.11449868,172934.56049203,255237.20869504
q3_medium_elasticity_test_2000,demand,2028,840.25073264,1106.28783028,31883.63772663,182326.93623723,276311.3360686
q3_medium_elasticity_test_2000,demand,2029,854.44595915,1155.59059999,33116.13662289,190952.39569083,305925.83817657
q3_medium_elasticity_test_2000,demand,2030,872.22401646,1208.57265708,34442.88531938,198721.34918379,335684.2028267
q3_medium_elasticity_test_2000,yield,2024,90.02221844,344.94286709,3306.81689639,11027.36020593,16499.7626481
q3_medium_elasticity_test_2000,yield,2025,90.00087856,344.97346593,3306.1928776,10995.37426501,16498.84585612
q3_medium_elasticity_test_2000,yield,2026,90.00187939,345.21507013,3306.72071739,10990.11782958,16499.93641865
q3_medium_elasticity_test_2000,yield,2027,90.0115618,344.6623692,3305.88780257,11006.06963407,16498.94548615
q3_medium_elasticity_test_2000,yield,2028,90.01682237,344.82074041,3306.96155997,10989.83256421,16497.41493126
q3_medium_elasticity_test_2000,yield,2029,90.00669505,344.95415714,3305.52340649,10984.24312835,16498.4708869
q3_medium_elasticity_test_2000,yield,2030,90.00133128,345.15966838,3303.06006941,10987.83200236,16497.38196007
q3_medium_elasticity_test_2000,cost,2024,364.01420412,367.19310499,1882.48992675,4061.59709014,10598.73529513
q3_medium_elasticity_test_2000,cost,2025,378.75947984,385.38905116,1976.61881978,4272.22044046,11207.50254732
q3_medium_elasticity_test_2000,cost,2026,395.41266115,404.50336333,2075.27316334,4493.02548186,11831.40880612
q3_medium_elasticity_test_2000,cost,2027,412.92495512,424.68915933,2179.09015995,4722.62062628,12454.1209779
q3_medium_elasticity_test_2000,cost,2028,433.10379923,445.82566019,2288.02422548,4963.25254002,13177.54436747
q3_medium_elasticity_test_2000,cost,2029,451.97741808,468.01271085,2402.29654933,5216.91597275,13825.96670568
q3_medium_elasticity_test_2000,cost,2030,471.89957544,491.3114016,2522.39115209,5483.45965231,14579.86512803
q3_medium_elasticity_test_2000,price,2024,1.48500905,2.64427364,9.35705138,39.63822394,95.0
q3_medium_elasticity_test_2000,price,2025,1.48502378,2.78653212,9.43945616,39.64031265,90.25
q3_medium_elasticity_test_2000,price,2026,1.48500951,2.93342904,9.53854607,39.63686772,85.7375
q3_medium_elasticity_test_2000,price,2027,1.48500163,3.03813858,9.65353738,39.63503832,81.450625
q3_medium_elasticity_test_2000,price,2028,1.48501343,3.19002742,9.78487326,39.64096753,77.37809375
q3_medium_elasticity_test_2000,price,2029,1.48506255,3.24790986,9.93341548,39.63284902,73.50918906
q3_medium_elasticity_test_2000,price,2030,1.48503985,3.2487638,10.09919596,39.63684359,69.83372961
