scenario_set,parameter,year,minimum,p05,mean,p95,maximum
optimization_100,cost,2025,379.91542337,385.31261679,1976.72859246,4271.19459886,11180.4184903
optimization_100,cost,2026,396.20806179,404.42427332,2075.59080732,4490.99970096,11779.60646993
optimization_100,cost,2027,415.14662681,424.54632097,2179.30304114,4722.56235468,12401.49392599
optimization_100,cost,2028,435.4916077,446.01666971,2288.21875862,4963.95076456,13065.89245046
optimization_100,cost,2029,456.61203349,468.06886213,2402.68695243,5217.58285531,13736.85218989
optimization_100,cost,2030,477.31541412,491.34583681,2522.90891119,5491.17770018,14479.94398832
optimization_100,price,2024,1.48517747,2.64371598,9.35771394,39.68642569,95.0
optimization_100,price,2025,1.48507965,2.78763619,9.43963702,39.64302237,90.25
optimization_100,price,2026,1.48588084,2.9353245,9.5398875,39.66632842,85.7375
optimization_100,price,2027,1.48505313,3.03622117,9.65489079,39.66574688,81.450625
optimization_100,price,2028,1.48636674,3.19096799,9.78685294,39.6611987,77.37809375
optimization_100,price,2029,1.48508231,3.25039746,9.9358753,39.64394519,73.50918906
optimization_100,price,2030,1.48532852,3.24999793,10.10083725,39.63858444,69.83372961
test_2000,demand,2024,769.50122059,887.10786994,27307.74453086,143305.0322003,187922.3520525
test_2000,demand,2025,769.5223976,886.68202097,27818.20293902,150009.7849281,206336.73407342
test_2000,demand,2026,769.50730283,886.21108657,28380.56709724,152272.01014998,225938.14912307
test_2000,demand,2027,769.50562924,886.99850968,28976.91505447,151983.40690663,248507.63090387
test_2000,demand,2028,769.51530939,889.0477978,29627.91941176,152214.1019468,268479.69781618
test_2000,demand,2029,769.50009151,885.612862,30320.919649,152482.37251351,291323.60394576
test_2000,demand,2030,769.50597892,887.52885957,31064.51550941,152118.43886915,319273.07337132
test_2000,yield,2024,90.00437078,345.10059438,3306.97539553,10992.113243,16498.97586028
test_2000,yield,2025,90.00736187,344.75569145,3307.15990975,10998.69973438,16498.89145955
test_2000,yield,2026,90.02343583,344.9976901,3307.54551047,11007.97086132,16499.27967293
test_2000,yield,2027,90.00966215,345.00392926,3307.94721873,11003.15038115,16498.9051597
test_2000,yield,2028,90.00430298,344.75645763,3308.02195596,11004.88357926,16498.79183589
test_2000,yield,2029,90.00089638,344.97058687,3307.72292257,11005.14975998,16499.81350559
test_2000,yield,2030,90.01007179,344.60256772,3308.38313641,11016.58677794,16499.25628902
test_2000,cost,2024,364.02230094,367.20545342,1882.51313668,4061.55330838,10598.45947335
test_2000,cost,2025,379.12397462,385.4514517,1976.62115486,4271.65678385,11206.95135114
test_2000,cost,2026,396.04385666,404.59871041,2075.4785224,4492.01862825,11805.40448869
test_2000,cost,2027,413.57653733,424.71787207,2179.23999855,4719.84640045,12464.1901164
test_2000,cost,2028,433.06396529,445.86703428,2288.19017905,4962.03825912,13125.22936446
test_2000,cost,2029,451.77134577,468.05940436,2402.56178462,5216.12595305,13801.68411718
test_2000,cost,2030,472.76422413,491.37403951,2522.68756116,5480.84163123,14545.62956656
test_2000,price,2024,1.48501927,2.644503,9.35805898,39.64471504,95.0
test_2000,price,2025,1.48502877,2.78511118,9.44164245,39.64642863,90.25
test_2000,price,2026,1.48500913,2.93186919,9.54053893,39.64280173,85.7375
test_2000,price,2027,1.48500349,3.03751932,9.65545631,39.6396579,81.450625
test_2000,price,2028,1.48500323,3.18889139,9.78693294,39.64045021,77.37809375
test_2000,price,2029,1.48500757,3.24911704,9.93560111,39.64109124,73.50918906
test_2000,price,2030,1.48501126,3.24833963,10.10109629,39.64173495,69.83372961
optimization_50,demand,2024,769.89956519,896.30859189,27282.86870203,143309.74917241,187706.29817773
optimization_50,demand,2025,770.54262221,881.54663353,27873.52746156,150945.4865646,205301.68180761
optimization_50,demand,2026,770.20436452,888.66398289,28359.76885082,150532.72309346,224989.24046086
optimization_50,demand,2027,771.46952681,887.59285564,29001.72835315,152562.37324064,244403.15195958
optimization_50,demand,2028,770.2739125,886.68091752,29660.49943873,152250.65078636,260324.14755761
optimization_50,demand,2029,769.57223929,882.65623226,30353.78362807,151266.44221667,283735.2778027
optimization_50,demand,2030,771.92354837,883.39814023,31078.78983733,151834.61302029,305583.76306982
optimization_50,yield,2024,90.35829422,345.19505073,3307.97080812,10992.32366391,16461.89366266
optimization_50,yield,2025,90.19854287,347.01229342,3313.40125628,11075.17648956,16481.7800083
optimization_50,yield,2026,90.21751131,345.01579867,3304.86053157,11039.30605548,16472.2076038
optimization_50,yield,2027,90.5583585,344.1857715,3304.89808479,10888.67062117,16485.71160781
optimization_50,yield,2028,90.62915395,345.21139987,3304.89494928,10880.85681057,16493.4416777
optimization_50,yield,2029,90.26721166,346.30088126,3304.30459249,10947.91712261,16498.4810932
optimization_50,yield,2030,90.09115364,343.91033982,3308.58961945,10949.28486599,16458.39804353
optimization_50,cost,2024,364.02757001,367.2572923,1882.43321183,4062.76514563,10586.70861917
optimization_50,cost,2025,380.11299319,385.45205795,1976.59616794,4270.07378816,11160.56874296
optimization_50,cost,2026,396.58535861,404.49364172,2075.33938726,4494.65692192,11752.2171799
optimization_50,cost,2027,414.63335445,424.66504127,2179.01344689,4733.37576498,12360.2628901
optimization_50,cost,2028,434.96422542,445.75758541,2288.08606242,4960.24976918,13034.2524461
optimization_50,cost,2029,453.33905538,467.88490013,2402.49619026,5213.81295823,13683.77469004
optimization_50,cost,2030,477.80269121,491.19923226,2522.73586669,5473.74171086,14416.70591571
optimization_50,price,2024,1.4855346,2.64508889,9.35718631,39.67636211,95.0
optimization_50,price,2025,1.48505208,2.78522718,9.44111521,39.60940324,90.25
optimization_50,price,2026,1.48517488,2.9262578,9.54093009,39.6319889,85.7375
optimization_50,price,2027,1.48580944,3.03605518,9.65347432,39.61734865,81.450625
optimization_50,price,2028,1.48698479,3.18918256,9.7888384,39.71688621,77.37809375
optimization_50,price,2029,1.48573013,3.24989183,9.93477236,39.61468635,73.50918906
optimization_50,price,2030,1.48506773,3.24765009,10.1000324,39.638243,69.83372961
optimization_200,demand,2024,769.67563964,881.98936565,27309.0367014,143018.08755177,187874.44294343
optimization_200,demand,2025,769.51135482,892.80619552,27820.72407581,149929.49440768,205470.22969169
optimization_200,demand,2026,769.70455758,892.95739544,28385.75389138,152614.3644021,221985.45996256
optimization_200,demand,2027,769.78282278,886.44792144,29007.57086813,152270.33857715,242466.54751096
optimization_200,demand,2028,769.59336949,885.59168399,29659.75759382,152324.25182995,263699.65368716
optimization_200,demand,2029,769.60281678,883.1178547,30345.92089018,152315.53481252,284113.7545171
optimization_200,demand,2030,770.23652783,883.93963972,31104.89282448,152613.39756218,305282.83824738
optimization_200,yield,2024,90.12032298,344.77785654,3305.12759693,11010.5433563,16476.37402292
optimization_200,yield,2025,90.00512877,345.20056488,3308.43062379,10995.68431036,16498.48443266
optimization_200,yield,2026,90.01158337,344.99713038,3309.35329281,11021.54412949,16483.52080437
optimization_200,yield,2027,90.01214807,344.44629541,3309.27270526,11007.89744043,16496.79771823
optimization_200,yield,2028,90.03098056,345.0400934,3308.40676438,11003.81951149,16499.82488284
optimization_200,yield,2029,90.02869955,345.20538689,3306.80269438,10985.66111539,16493.32288751
optimization_200,yield,2030,90.1535113,345.22070639,3304.03938346,10970.39107942,16493.89799658
optimization_200,cost,2024,364.05187644,367.19292529,1882.5100929,4061.57763062,10593.59361361
optimization_200,cost,2025,379.54259359,385.43128878,1976.61710936,4276.16356831,11204.07109217
optimization_200,cost,2026,396.6301836,404.55567723,2075.42507496,4492.92551737,11778.89557516
optimization_200,cost,2027,413.56514847,424.79751027,2179.19646269,4725.23289388,12427.67122856
optimization_200,cost,2028,434.42694812,445.96438144,2288.13950975,4966.6348591,13071.62568929
optimization_200,cost,2029,453.86468334,468.25547961,2402.65578531,5217.90593134,13741.534366
optimization_200,cost,2030,475.93370486,491.55568209,2522.76925851,5483.3582184,14534.64580108
optimization_200,price,2024,1.48518674,2.64520128,9.35495109,39.64682343,95.0
optimization_200,price,2025,1.48529329,2.78563367,9.43958141,39.65226751,90.25
optimization_200,price,2026,1.48502275,2.93007951,9.53847196,39.64438887,85.7375
optimization_200,price,2027,1.4850073,3.03488119,9.65286807,39.64409561,81.450625
optimization_200,price,2028,1.48514835,3.18790735,9.78502065,39.64645576,77.37809375
optimization_200,price,2029,1.48530745,3.25008752,9.93324423,39.6448096,73.50918906
optimization_200,price,2030,1.48500827,3.25066703,10.0986816,39.63820184,69.83372961
