scenario_set,check,value,expected_direction,note
q3_medium_test_2000,wheat_corn_demand_corr,0.371002,positive,主要粮食替代组共同市场因子
q3_medium_elasticity_optimization_100,within_group_demand_corr:grain_staple,0.37242,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,within_group_demand_corr:grain_other,0.332975,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,within_group_demand_corr:beans_grain,0.34316,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,within_group_demand_corr:beans_veg,0.381922,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,within_group_demand_corr:leafy,0.40533,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,within_group_demand_corr:solanum,0.34764,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,within_group_demand_corr:cabbage_root,0.392083,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,within_group_demand_corr:fungus,0.287621,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_optimization_100,mean_yield_price_corr,-0.214053,negative,丰产压价机制
q3_medium_elasticity_optimization_100,mean_cost_corr_first8,0.346419,positive,共同投入成本因子
q3_medium_elasticity_optimization_100,wheat_corn_demand_corr,0.37242,positive,主要粮食替代组共同市场因子
q3_medium_elasticity_test_2000,within_group_demand_corr:grain_staple,0.390723,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,within_group_demand_corr:grain_other,0.325927,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,within_group_demand_corr:beans_grain,0.369402,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,within_group_demand_corr:beans_veg,0.368511,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,within_group_demand_corr:leafy,0.385864,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,within_group_demand_corr:solanum,0.370445,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,within_group_demand_corr:cabbage_root,0.373322,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,within_group_demand_corr:fungus,0.321846,positive,公共因子权重不是该经验相关系数
q3_medium_elasticity_test_2000,mean_yield_price_corr,-0.208393,negative,丰产压价机制
q3_medium_elasticity_test_2000,mean_cost_corr_first8,0.362345,positive,共同投入成本因子
q3_medium_elasticity_test_2000,wheat_corn_demand_corr,0.390723,positive,主要粮食替代组共同市场因子
