crop_id,crop_name,waste_area_mu,discount_area_mu,change_area_mu,waste_production_jin,discount_production_jin,change_production_jin,waste_surplus_jin,discount_surplus_jin,change_surplus_jin,waste_profit_yuan,discount_profit_yuan,change_profit_yuan
25,菜花,6.3,0.0,-6.3,25200.0,0.0,-25200.0,0.0,0.0,0.0,119700.0,0.0,-119700.0
14,莜麦,233.148267,172.656035,-60.492232,93259.30664,69004.784689,-24254.521951,0.0,0.0,0.0,419666.879879,310463.902039,-109202.97784
24,青椒,6.3,0.0,-6.3,18270.0,0.0,-18270.0,0.0,0.0,0.0,91686.0,0.0,-91686.0
31,辣椒,4.2,0.0,-4.2,8400.0,0.0,-8400.0,0.0,0.0,0.0,55860.0,0.0,-55860.0
30,生菜,4.2,2.7,-1.5,19950.0,12900.0,-7050.0,0.0,0.0,0.0,105840.0,67755.0,-38085.0
23,菠菜,2.1,0.0,-2.1,6300.0,0.0,-6300.0,0.0,0.0,0.0,37170.0,0.0,-37170.0
3,红豆,430.387139,434.609956,4.222817,163547.113237,165151.783659,1604.670422,6747.113237,8351.783659,1604.670422,1142964.500967,1175937.622647,32973.12168
27,油麦菜,6.3,5.1,-1.2,31500.0,25500.0,-6000.0,0.0,0.0,0.0,144900.0,117300.0,-27600.0
8,谷子,1309.151255,1304.998235,-4.15302,498016.204147,495899.329114,-2116.875033,0.0,2700.0,2700.0,2890314.926215,2868408.607096,-21906.319119
10,黍子,182.010524,195.217793,13.207269,87500.0,93960.212888,6460.212888,0.0,6460.212888,6460.212888,590726.210524,610197.392419,19471.181895
33,黄心菜,2.1,1.5,-0.6,12600.0,9000.0,-3600.0,0.0,0.0,0.0,51450.0,36750.0,-14700.0
19,芸豆,16.4,13.2,-3.2,56040.0,47520.0,-8520.0,10680.0,2160.0,-8520.0,257480.0,270180.0,12700.0
4,绿豆,692.932323,672.59697,-20.335353,231315.0,231512.272727,197.272727,595.0,967.272727,372.272727,1372513.686868,1381791.515152,9277.828284
9,高粱,350.0,360.018422,10.018422,210000.0,214260.0,4260.0,0.0,4260.0,4260.0,1120000.0,1128772.631578,8772.631578
12,南瓜,81.9,87.786364,5.886364,245700.0,263359.090909,17659.090909,0.0,17659.090909,17659.090909,286650.0,294007.954545,7357.954545
6,小麦,1534.832537,1541.180621,6.348084,1193549.090909,1195880.0,2330.909091,0.0,0.0,0.0,3486747.177032,3492048.720096,5301.543064
13,红薯,114.545452,115.731816,1.186364,252000.0,254610.0,2610.0,0.0,2610.0,2610.0,589909.090911,591777.613638,1868.522727
5,爬豆,175.0,186.337552,11.337552,69125.0,70750.0,1625.0,0.0,1625.0,1625.0,405343.75,406859.981539,1516.231539
26,包菜,6.3,6.3,0.0,28350.0,28350.0,0.0,0.0,0.0,0.0,162225.0,162225.0,0.0
34,芹菜,2.1,2.1,0.0,12600.0,12600.0,0.0,0.0,0.0,0.0,57960.0,57960.0,0.0
35,大白菜,210.0,210.0,0.0,1050000.0,1050000.0,0.0,0.0,0.0,0.0,2205000.0,2205000.0,0.0
40,白灵菇,12.6,12.6,0.0,126000.0,126000.0,0.0,0.0,0.0,0.0,1890000.0,1890000.0,0.0
